,0
0,0.06300000008195639
1,0.06699999962002039
2,0.1649999998509884
3,0.7909999966621398
4,0.8999999940395355
5,0.9350000023841858
6,0.9520000100135803
7,0.9610000014305115
8,0.9660000026226042
9,0.9649999916553496
10,0.9699999988079071
11,0.9720000028610228
12,0.978000009059906
13,0.9810000121593475
14,0.9770000219345092
15,0.9810000121593475
16,0.9820000171661377
17,0.9830000162124634
18,0.9830000162124632
19,0.9800000131130218
20,0.9860000133514403
