,0
0,0.06300000008195639
1,0.07099999990314246
2,0.10999999977648257
3,0.10500000156462193
4,0.10099999979138374
5,0.10099999979138374
6,0.10099999979138374
7,0.10099999979138374
8,0.10200000032782554
9,0.10200000032782554
10,0.12599999979138374
11,0.24000000059604645
12,0.31599999964237213
13,0.4349999964237213
14,0.5860000014305115
15,0.747000014781952
16,0.7800000011920928
17,0.7819999992847441
18,0.8279999911785126
19,0.8530000030994415
20,0.8700000047683717
21,0.8759999990463256
22,0.880000001192093
23,0.8839999973773957
24,0.8990000069141388
25,0.877999997138977
26,0.885999995470047
27,0.8879999995231627
28,0.8870000004768371
29,0.8869999945163727
30,0.8980000019073486
31,0.897000002861023
32,0.902999997138977
33,0.9030000030994415
34,0.8999999940395355
35,0.9079999983310699
