,0
0,0.06300000008195639
1,0.06999999936670065
2,0.11299999915063381
3,0.14500000178813935
4,0.29899999797344207
5,0.24400000274181366
6,0.34900000393390657
7,0.2690000027418137
8,0.3530000030994415
9,0.22400000244379042
10,0.36800000071525574
11,0.5369999945163726
12,0.7039999961853027
13,0.8959999978542328
14,0.9300000011920928
15,0.9449999988079071
16,0.9519999980926515
17,0.9599999904632567
18,0.9649999916553497
19,0.9629999935626984
20,0.9689999878406523
21,0.972999995946884
22,0.9719999969005583
23,0.9760000050067901
24,0.9790000081062316
25,0.9790000081062317
26,0.9820000171661377
27,0.9810000181198121
28,0.9810000121593475
29,0.9810000121593475
30,0.9840000152587891
31,0.9840000152587891
32,0.9830000162124634
33,0.9860000133514405
34,0.9840000152587891
35,0.9850000143051147
