,0
0,0.06300000008195639
1,0.06999999936670065
2,0.11299999915063381
3,0.1969999998807907
4,0.3330000057816505
5,0.6849999964237213
6,0.8860000014305115
7,0.9290000021457674
8,0.9530000030994416
9,0.9540000021457672
10,0.9599999964237212
11,0.9659999907016753
12,0.9679999947547911
13,0.9659999907016753
14,0.9730000019073486
15,0.9739999949932098
16,0.9770000100135803
17,0.9780000090599059
18,0.9780000090599059
19,0.9830000162124634
20,0.9820000171661377
21,0.9840000152587891
22,0.9820000171661377
23,0.9850000143051147
24,0.9830000162124634
25,0.9860000133514405
26,0.9850000143051147
27,0.9830000162124635
28,0.981000018119812
29,0.9850000143051147
30,0.9830000162124635
31,0.9850000143051147
32,0.9860000133514405
33,0.9850000143051147
34,0.9850000143051147
35,0.9860000133514403
